"Storey","IFC Type","Element Name","CompositeKey","EA","SF","LF","CY"
"Elevator Pit","IFCWALL","Basic Wall:Concrete 24"":601472","0:3815","1","5262.94","98.72","1273.88"
"Elevator Pit","IFCWALL","Basic Wall:Concrete 18"":691311","0:18704","1","1861.59","63.84","333.32"
"L1_43_High","IFCWALL","Basic Wall:Concrete 18"":935922","0:54831","1","1830.24","49.49","420.92"
"L1_43_High","IFCWALL","Basic Wall:Concrete 18"":935923","0:55052","1","8160.88","161.05","1822.96"
"L1_43_High","IFCWALL","Basic Wall:Concrete 18"":935924","0:55269","1","4232.14","78.37","908.49"
"L1_43_High","IFCWALL","Basic Wall:Concrete 18"":935925","0:55338","1","8191.73","164.02","1882.43"
"L1_43_High","IFCWALL","Basic Wall:Concrete 18"":935926","0:55406","1","6769.21","135.24","1554.54"
"L1_43_High","IFCWALL","Basic Wall:Concrete 24"":935927","0:55462","1","1616.82","86.98","392.93"
"L1_43_High","IFCWALL","Basic Wall:Concrete 18"":936762","0:55523","1","4441.66","138.80","949.96"
"L1_43_High","IFCWALL","Basic Wall:Concrete 18"":936763","0:55586","1","4524.29","141.33","967.73"
"Elevator Pit","IFCFOOTING","Wall Foundation:Bearing Footing - 36""x18"":670988","0:14080","1","2026.30","200.95","369.33"
"Elevator Pit","IFCFOOTING","Wall Foundation:Bearing Footing - 36""x18"":671001","0:14130","1","1001.04","108.27","182.46"
"Elevator Pit","IFCFOOTING","Wall Foundation:Bearing Footing - 36""x18"":671013","0:14161","1","2001.05","209.51","364.73"
"Elevator Pit","IFCFOOTING","Wall Foundation:Bearing Footing - 36""x18"":671022","0:14191","1","1020.13","102.22","185.94"
"Elevator Pit","IFCFOOTING","Wall Foundation:Bearing Footing - 36""x18"":671031","0:14221","1","2227.06","233.19","405.92"
"Elevator Pit","IFCFOOTING","Wall Foundation:Bearing Footing - 36""x18"":671043","0:14249","1","681.83","81.26","124.28"
"Elevator Pit","IFCFOOTING","Wall Foundation:Bearing Footing - 36""x18"":671079","0:14274","1","1451.78","158.98","264.61"
"Elevator Pit","IFCFOOTING","Wall Foundation:Bearing Footing - 36""x18"":676633","0:15228","1","2474.35","267.80","451.00"
"Elevator Pit","IFCFOOTING","Wall Foundation:Bearing Footing - 36""x18"":677215","0:15320","1","1529.82","165.27","278.84"
"L1_35_Low","IFCBEAM","Concrete-Rectangular Beam:CB24x24:606873","0:4307","1","","30.76","23.91"
"L1_35_Low","IFCBEAM","Concrete-Rectangular Beam:CB24x24:606875","0:4367","1","","67.26","57.22"
"L1_37_Med","IFCBEAM","Concrete-Rectangular Beam:CB24x24:606877","0:4398","1","","64.52","55.95"
"L1_37_Med","IFCBEAM","Concrete-Rectangular Beam:CB24x24:606879","0:4430","1","","56.87","46.80"
"L1_43_High","IFCBEAM","Concrete-Rectangular Beam:CB24x24:606881","0:4467","1","","77.41","65.88"
"L1_35_Low","IFCBEAM","Concrete-Rectangular Beam:CB24x24:606883","0:4498","1","","64.80","54.04"
"L1_35_Low","IFCBEAM","Concrete-Rectangular Beam:CB24x30:606885","0:4528","1","","72.04","89.19"
"L1_35_Low","IFCBEAM","Concrete-Rectangular Beam:CB24x30:606889","0:4574","1","","83.66","100.28"
"L1_35_Low","IFCBEAM","Concrete-Rectangular Beam:CB24x30:606891","0:4604","1","","19.41","21.80"
"L1_35_Low","IFCBEAM","Concrete-Rectangular Beam:CB24x30:606893","0:4634","1","","72.04","89.19"
"L1_35_Low","IFCBEAM","Concrete-Rectangular Beam:CB24x30:606895","0:4665","1","","82.02","100.28"
"L1_35_Low","IFCBEAM","Concrete-Rectangular Beam:CB18x24:606896","0:4696","1","","72.32","47.02"
"L1_37_Med","IFCBEAM","Concrete-Rectangular Beam:CB24x39:606897","0:4749","1","","70.40","131.56"
"L1_37_Med","IFCBEAM","Concrete-Rectangular Beam:CB24x39:606899","0:4802","1","","78.74","147.91"
"L1_37_Med","IFCBEAM","Concrete-Rectangular Beam:CB24x30:606901","0:4832","1","","73.68","89.19"
